,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,8.0,-1.0,-1.0,-1.0,-1.0,8.0,-1.0,0.9,-1.0,604.0,68.0,Papua New Guinea,Australia/Oceania,,,0.0,,,
1,2020-05-03,8.0,-1.0,-1.0,-1.0,-1.0,8.0,-1.0,0.9,-1.0,604.0,68.0,Papua New Guinea,Australia/Oceania,,,0.0,,,
2,2020-05-04,8.0,-1.0,-1.0,-1.0,6.0,2.0,-1.0,0.9,-1.0,2402.0,268.0,Papua New Guinea,Australia/Oceania,,,0.0,,,
3,2020-05-05,8.0,-1.0,-1.0,-1.0,8.0,0.0,-1.0,0.9,-1.0,2402.0,268.0,Papua New Guinea,Australia/Oceania,,,0.0,,,
4,2020-05-06,8.0,-1.0,-1.0,-1.0,8.0,0.0,-1.0,0.9,-1.0,2402.0,268.0,Papua New Guinea,Australia/Oceania,,,0.0,,,
5,2020-05-07,8.0,-1.0,-1.0,-1.0,8.0,0.0,-1.0,0.9,-1.0,2402.0,268.0,Papua New Guinea,Australia/Oceania,,,0.0,,,
6,2020-05-08,8.0,-1.0,-1.0,-1.0,8.0,0.0,-1.0,0.9,-1.0,2402.0,268.0,Papua New Guinea,Australia/Oceania,,,0.0,,,
7,2020-05-09,8.0,-1.0,-1.0,-1.0,8.0,0.0,-1.0,0.9,-1.0,2402.0,268.0,Papua New Guinea,Australia/Oceania,,,0.0,,,
8,2020-05-10,8.0,-1.0,-1.0,-1.0,8.0,0.0,-1.0,0.9,-1.0,2402.0,268.0,Papua New Guinea,Australia/Oceania,,,0.0,,,
9,2020-05-11,8.0,-1.0,-1.0,-1.0,8.0,0.0,-1.0,0.9,-1.0,2402.0,268.0,Papua New Guinea,Australia/Oceania,,,0.0,,,
10,2020-05-12,8.0,-1.0,-1.0,-1.0,8.0,0.0,-1.0,0.9,-1.0,2402.0,268.0,Papua New Guinea,Australia/Oceania,,,0.0,,,
11,2020-05-13,8.0,-1.0,-1.0,-1.0,8.0,0.0,-1.0,0.9,-1.0,2402.0,268.0,Papua New Guinea,Australia/Oceania,,,0.0,,,
12,2020-05-14,8.0,-1.0,-1.0,-1.0,8.0,0.0,-1.0,0.9,-1.0,2402.0,268.0,Papua New Guinea,Australia/Oceania,,,0.0,,,
13,2020-05-15,8.0,-1.0,-1.0,-1.0,8.0,0.0,-1.0,0.9,-1.0,2402.0,269.0,Papua New Guinea,Australia/Oceania,208.0,8924052.0,0.0,,,
14,2020-05-16,8.0,-1.0,-1.0,-1.0,8.0,0.0,-1.0,0.9,-1.0,2402.0,269.0,Papua New Guinea,Australia/Oceania,208.0,8924516.0,0.0,,,
15,2020-05-17,8.0,-1.0,-1.0,-1.0,8.0,0.0,-1.0,0.9,-1.0,2402.0,269.0,Papua New Guinea,Australia/Oceania,208.0,8924980.0,0.0,,,
16,2020-05-18,8.0,-1.0,-1.0,-1.0,8.0,0.0,-1.0,0.9,-1.0,2402.0,269.0,Papua New Guinea,Australia/Oceania,208.0,8925443.0,0.0,,,
17,2020-05-19,8.0,-1.0,-1.0,-1.0,8.0,0.0,-1.0,0.9,-1.0,2402.0,269.0,Papua New Guinea,Australia/Oceania,208.0,8925907.0,0.0,,,
18,2020-05-20,8.0,-1.0,-1.0,-1.0,8.0,0.0,-1.0,0.9,-1.0,2402.0,269.0,Papua New Guinea,Australia/Oceania,208.0,8926371.0,0.0,,,
19,2020-05-21,8.0,-1.0,-1.0,-1.0,8.0,0.0,-1.0,0.9,-1.0,2402.0,269.0,Papua New Guinea,Australia/Oceania,208.0,8926835.0,0.0,,,
20,2020-05-22,8.0,-1.0,-1.0,-1.0,8.0,0.0,-1.0,0.9,-1.0,2402.0,269.0,Papua New Guinea,Australia/Oceania,208.0,8927298.0,0.0,,,
21,2020-05-23,8.0,-1.0,-1.0,-1.0,8.0,0.0,-1.0,0.9,-1.0,2402.0,269.0,Papua New Guinea,Australia/Oceania,208.0,8927762.0,0.0,,,
